MES;ANIO;LINEA;FLOTA;EN_SERVICIO;RESERVA;RG;RP;CORRECTIVO;JUDICIAL;ALISTAMIENTO
2;2015;A;CNR;45; ; ; ; ; ; 
2;2015;A;FIAT;30;5; ; ; ; ; 
2;2015;A;SS;0;5; ; ;5; ; 
2;2015;B;MITSUB.;84;6;12;6;18; ; 
2;2015;B;CAF;12;6; ; ;18; ; 
2;2015;C;NAGOYA;42;18;12;6; ; ; 
2;2015;D;ALSTOM;66; ;12;6;6; ; 
2;2015;D;FIAT;24;12;6;6;12; ; 
2;2015;E;GE;40;4;4;4;4; ; 
2;2015;H;SS;20; ;4;4; ; ; 
2;2015;P;MATERFER;8;1;2;1; ; ; 
3;2015;A;CNR;45; ; ; ; ; ; 
3;2015;A;FIAT;25; ; ; ;5; ; 
3;2015;A;SS;10; ; ; ; ; ; 
3;2015;B;MITSUB.;102; ;6;6; ; ; 
3;2015;B;CAF;18;6; ; ;6; ;6
3;2015;C;NAGOYA;54;6;12; ;6; ; 
3;2015;D;ALSTOM;72; ;6;6;6; ; 
3;2015;D;FIAT;42;6;6;6;6; ; 
3;2015;E;GE;44;4;4;4; ; ; 
3;2015;H;SS;20;4;4; ; ; ; 
3;2015;P;MATERFER;8;1;2; ;1; ; 
4;2015;A;CNR;45; ; ; ; ; ; 
4;2015;A;FIAT;30; ; ; ; ; ; 
4;2015;A;SS;5;5; ; ; ; ; 
4;2015;B;MITSUB.;96; ;6;6;6; ; 
4;2015;B;CAF;24; ; ; ;6; ;6
4;2015;C;NAGOYA;54;6;12;6; ; ; 
4;2015;D;ALSTOM;72; ;6; ;12; ; 
4;2015;D;FIAT;42;6;6;6;6; ; 
4;2015;E;GE;44;4;4;4; ; ; 
4;2015;H;SS;20;4;4; ; ; ; 
4;2015;P;MATERFER;8; ;2;1;1; ; 
5;2015;A;CNR;45; ; ; ; ; ; 
5;2015;A;FIAT;30; ; ; ; ; ; 
5;2015;A;SS;5;5; ; ; ; ; 
5;2015;B;MITSUB.;90; ;6;6;12; ; 
5;2015;B;CAF;30; ; ; ;6; ; 
